"y","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12"
72410,3434,929,28.9,8.3,1844,3215,65.1,422.6,5909,0,0,0
45642,1392,883,37.2,9.8,1579,6087,46.5,396.8,5705,0,0,1
52094,2298,886,76.2,9,1644,7673,48.2,394.6,5185,0,0,1
52606,1708,833,24,8.8,1062,5315,56.2,367.5,5489,0,1,0
42786,3358,805,35.1,11.3,1649,5512,44.9,359.1,4941,0,0,1
30771,2624,794,30.4,12.2,1532,4730,55.2,356.5,5094,1,0,0
46213,2187,777,47,10.2,1098,4342,51.9,355.4,5142,0,1,0
34941,3214,774,47.7,9.4,1285,3459,40.3,401.7,4924,0,0,1
44513,3491,769,48.5,9.7,1496,5620,59.6,362.3,4798,0,0,1
33936,4080,773,59.6,9.9,1597,7496,47.3,380.9,4600,0,0,1
46984,596,723,100,6,1260,2819,66,319.9,5181,0,0,0
43010,3199,694,80.6,8.7,983,4749,50.8,292.4,4127,0,0,1
34725,903,661,37.3,9.6,948,4064,55.6,293.3,4102,0,1,0
30829,2419,647,27.8,9.9,1250,2870,57.8,286.8,3860,1,0,0
35106,938,644,48.1,7.4,614,3016,50,280.9,4177,0,1,0
14868,1951,629,28.4,14.5,696,4843,47.9,271.5,3667,1,0,0
19090,1490,624,33.1,11.9,827,3818,47.4,300.2,4144,1,0,0
32146,5677,610,55.8,10.5,760,3883,56.2,292,4035,0,0,1
37070,1525,597,55.7,8.3,751,3234,44.9,318.5,3777,0,0,1
44442,2528,593,19.2,10.2,798,3135,55.4,274.1,3489,0,0,1
32271,1537,581,63.8,8.7,1234,5160,62.7,272.6,3725,0,1,0
26645,1420,576,32.6,9.5,833,2950,54,280.8,3553,0,1,0
29157,47,564,41.9,11.9,745,3352,36.3,258.9,3915,1,0,0
22111,1023,541,35.1,10,639,3144,52.1,234.1,3437,0,1,0
35201,1182,514,32.4,7.4,518,2515,52.4,216.8,3627,0,1,0
31358,1165,516,14.5,8.6,746,4277,54.4,237.1,3724,0,0,1
24787,476,492,8.9,10.9,787,2778,60.1,218.4,3603,1,0,0
24269,1553,487,50,8,2207,4931,52,257.2,2991,0,0,1
36418,2023,477,22.1,21.8,752,2317,55.7,194.2,3283,0,0,1
29967,2766,474,67.9,7.7,679,3873,56.3,224,2598,0,0,1
38205,5966,472,39.5,9.6,737,1907,52.7,246.6,3007,0,0,0
25159,1863,468,50.4,7.7,674,2989,63.8,194.8,2747,0,0,0
20053,2277,455,39.5,7.5,512,1788,61.9,221.1,2853,0,1,0
17596,1630,449,41.9,10.7,724,4395,50,198,2445,0,0,1
31539,1617,435,71,6.9,518,2031,54.1,197.9,2617,0,0,1
16985,1624,429,13.4,11,832,2938,55.4,207.8,2885,1,0,0
24266,1676,423,36.6,9.2,505,3297,60.7,156.3,2689,0,0,0
22374,2818,425,48.5,9.3,540,2694,42.3,172.8,2162,0,0,1
10425,2866,408,24.9,10.7,427,2864,39.1,169.1,1987,0,0,1
28171,4883,402,72.4,7.3,873,2236,64.9,185.2,2353,0,0,0
15981,966,401,24.9,10.6,427,3192,52.2,174.7,2446,0,1,0
16240,2109,403,41.2,10.3,520,2539,45.2,183.1,2308,0,0,1
25149,2449,395,68.4,9.6,681,2864,63.2,207.4,2651,0,1,0
25046,2618,385,31.7,6.1,836,2159,48,145.6,1992,0,0,1
26428,1465,374,30.3,6.8,598,6456,50.6,164.7,2201,0,0,1
18599,1704,375,52.1,10.5,379,2491,55.6,173.2,2662,0,1,0
16529,1750,370,49.3,9.7,446,3472,58.2,176.5,2439,0,1,0
26032,1489,369,58.8,9.5,911,5720,56.5,175.1,2264,0,0,1
19138,2207,364,57.3,9.7,356,2167,45.5,165.9,2331,0,0,1
33687,7874,360,44.4,6.9,398,1365,65.2,174.2,2410,0,0,0
15623,655,364,75.2,6.6,425,3879,51.6,163,2088,0,0,1
16405,1803,362,35.3,10.4,483,2137,53.7,168.9,2666,0,1,0
19212,2363,356,53.1,10.6,565,2717,49.3,146.4,1996,0,0,1
11273,1435,352,13.4,11.7,342,1076,44.7,156.8,2165,1,0,0
8116,946,348,16.4,11.1,366,1455,43.9,163.8,2178,1,0,0
9325,2658,327,39,12.2,365,5430,49.9,136.9,1862,1,0,0
19410,228,317,31.1,10.2,667,3179,52.8,156.5,2264,1,0,0
17379,1758,310,56.8,11.5,565,2081,65.3,131.2,1939,0,0,0
18676,1198,313,55.1,8,1171,3877,71.2,172.3,2038,0,1,0
11161,2071,306,19.9,11.3,470,2531,58.9,133.1,1782,1,0,0
7699,862,302,26.3,13.4,423,1929,43.3,145.5,2010,1,0,0
20038,1526,303,71.7,7.7,413,1636,47.1,125.8,1692,0,0,1
12467,1758,297,33.2,11.6,296,2652,45.3,114.4,1641,0,0,1
14468,1651,296,64.6,8.9,774,5431,56.1,136.9,1724,0,0,1
15871,1493,294,64.8,8.9,863,3289,53.7,154.7,1787,0,0,1
18651,1610,294,59.8,9.5,471,4633,62.9,116.1,1851,0,0,0
18173,2710,288,63.7,6.2,357,1277,72.8,110.9,1639,0,0,0
12787,1975,291,46.5,12.6,405,2896,51.5,133.8,1853,0,1,0
12315,1920,291,49.8,7.8,283,1306,53.2,126.9,1553,0,0,1
11715,1404,289,38.5,10,299,1766,56.2,138.6,1776,0,1,0
18208,2737,287,45,10.5,602,1462,71.3,131.4,1980,0,0,0
14534,1700,287,18.8,8,739,3381,45.9,120.4,1616,0,0,1
13722,909,277,41.2,11.5,307,1309,54.2,131.9,1762,0,1,0
19133,1858,277,24.3,13.7,354,1562,46.3,116.9,1507,0,0,1
14776,3324,275,49.7,8.4,373,929,62.5,120.5,1918,0,0,0
19317,1697,274,23.8,7.2,338,1610,51,105.9,1354,0,0,1
10402,813,272,46,9.8,293,1693,58.4,119.9,1688,1,0,0
12273,7397,267,47.3,12.5,355,2042,56.2,113.7,1654,0,1,0
16226,1165,268,43.7,9.4,450,2070,57.5,129.4,1719,0,1,0
13230,802,268,52.6,9.8,392,1425,52.2,129.6,1816,0,1,0
4205,1770,268,14.8,12.2,285,2804,44.1,106.7,1537,1,0,0
8398,495,264,50.7,7.8,220,1177,52.6,119.5,1661,0,1,0
10208,1255,261,26,10.7,458,1646,51.6,113,1725,0,0,1
29237,1148,589,45.3,11.1,891,5790,54,277,3510,1,0,0
29058,1509,643,37.6,12,1087,4900,51.4,319.6,3982,1,0,0
14446,2013,254,61.7,9.7,273,1484,50.9,106.7,1412,0,0,1
13474,471,251,46.3,8.6,219,1128,47.8,105.3,1458,0,1,0
15596,4552,249,54.4,9.1,329,719,61.9,118,1386,0,0,0
10391,1400,242,50.8,8,290,1271,45.7,104.4,1351,0,0,1
8436,1543,232,39.6,8.1,159,481,30.3,80.6,769,0,0,1
14018,1011,233,37.8,10.5,264,964,70.7,93.2,1337,0,0,1
8428,813,232,13.4,10.9,371,4355,58,97,1589,1,0,0
